frame,action,actionTime,frameMs,fps,windStrength,windTarget,headLinearSpeed,headAngularSpeed,maxDeviation,maxStaticPenetration,maxFrontStaticPenetration,maxFrontMeshPenetration,finite
51,0,0.151011,2.5031,399.505,0.000000,0.000000,0.000000,0.0000,0.223213,0.002198,0.002198,0.000000,True
52,0,0.153515,2.5096,398.470,0.000000,0.000000,0.000000,0.0000,0.223114,0.002260,0.002260,0.000000,True
53,0,0.156025,2.4831,402.722,0.000000,0.000000,0.000000,0.0000,0.222994,0.002313,0.002313,0.000000,True
54,0,0.158508,2.4786,403.454,0.000000,0.000000,0.000000,0.0000,0.222884,0.002350,0.002350,0.000000,True
55,0,0.160987,2.5207,396.715,0.000000,0.000000,0.000000,0.0000,0.222795,0.002374,0.002374,0.000000,True
56,0,0.163508,2.4974,400.416,0.000000,0.000000,0.000000,0.0000,0.222729,0.002386,0.002386,0.000000,True
57,0,0.166006,2.5284,395.507,0.000000,0.000000,0.000000,0.0000,0.222697,0.002377,0.002377,0.000000,True
58,0,0.168535,2.5697,389.151,0.000000,0.000000,0.000000,0.0000,0.222694,0.002352,0.002352,0.000000,True
59,0,0.171105,2.5445,393.005,0.000000,0.000000,0.000000,0.0000,0.222703,0.002305,0.002305,0.000000,True
60,0,0.173650,2.5690,389.257,0.000000,0.000000,0.000000,0.0000,0.222740,0.002263,0.002263,0.000000,True
61,0,0.176219,2.5268,395.758,0.000000,0.000000,0.000000,0.0000,0.222738,0.002311,0.002311,0.000000,True
62,0,0.178746,2.4964,400.577,0.000000,0.000000,0.000000,0.0000,0.222716,0.002386,0.002386,0.000000,True
63,0,0.181243,2.5715,388.878,0.000000,0.000000,0.000000,0.0000,0.222653,0.002465,0.002465,0.000000,True
64,0,0.183815,2.5024,399.616,0.000000,0.000000,0.000000,0.0000,0.222560,0.002548,0.002548,0.000000,True
65,0,0.186318,2.5656,389.772,0.000000,0.000000,0.000000,0.0000,0.222454,0.002614,0.002614,0.000000,True
66,0,0.188884,2.5247,396.087,0.000000,0.000000,0.000000,0.0000,0.222334,0.002677,0.002677,0.000000,True
67,0,0.191409,2.5525,391.773,0.000000,0.000000,0.000000,0.0000,0.222242,0.002722,0.002722,0.000000,True
68,0,0.193962,2.8373,352.448,0.000000,0.000000,0.000000,0.0000,0.222144,0.002756,0.002756,0.000000,True
69,0,0.196799,2.5439,393.097,0.000000,0.000000,0.000000,0.0000,0.222058,0.002794,0.002794,0.000000,True
70,0,0.199344,2.5319,394.960,0.000000,0.000000,0.000000,0.0000,0.222019,0.002775,0.002775,0.000000,True
71,0,0.201876,2.5635,390.092,0.000000,0.000000,0.000000,0.0000,0.222012,0.002749,0.002749,0.000000,True
72,0,0.204440,2.5406,393.608,0.000000,0.000000,0.000000,0.0000,0.222034,0.002707,0.002707,0.000000,True
73,0,0.206981,2.5479,392.480,0.000000,0.000000,0.000000,0.0000,0.222080,0.002647,0.002647,0.000000,True
74,0,0.209529,2.5243,396.149,0.000000,0.000000,0.000000,0.0000,0.222101,0.002663,0.002663,0.000000,True
75,0,0.212054,2.5316,395.007,0.000000,0.000000,0.000000,0.0000,0.222086,0.002732,0.002732,0.000000,True
76,0,0.214586,2.5093,398.518,0.000000,0.000000,0.000000,0.0000,0.222046,0.002814,0.002814,0.000000,True
77,0,0.217095,2.5042,399.329,0.000000,0.000000,0.000000,0.0000,0.221983,0.002892,0.002892,0.000000,True
78,0,0.219600,2.4757,403.926,0.000000,0.000000,0.000000,0.0000,0.221900,0.002963,0.002963,0.000000,True
79,0,0.222076,2.5160,397.456,0.000000,0.000000,0.000000,0.0000,0.221830,0.003023,0.003023,0.000000,True
80,0,0.224592,2.5860,386.698,0.000000,0.000000,0.000000,0.0000,0.221741,0.003077,0.003077,0.000000,True
81,0,0.227179,2.5983,384.867,0.000000,0.000000,0.000000,0.0000,0.221659,0.003122,0.003122,0.000000,True
82,0,0.229778,2.5799,387.612,0.000000,0.000000,0.000000,0.0000,0.221601,0.003147,0.003147,0.000000,True
83,0,0.232358,2.7051,369.672,0.000000,0.000000,0.000000,0.0000,0.221582,0.003152,0.003152,0.000000,True
84,0,0.235064,2.5416,393.453,0.000000,0.000000,0.000000,0.0000,0.221572,0.003145,0.003145,0.000000,True
85,0,0.237606,2.5002,399.968,0.000000,0.000000,0.000000,0.0000,0.221598,0.003105,0.003105,0.000000,True
86,0,0.240106,2.5368,394.197,0.000000,0.000000,0.000000,0.0000,0.221662,0.003050,0.003050,0.000000,True
87,0,0.242643,2.5841,386.982,0.000000,0.000000,0.000000,0.0000,0.221704,0.003014,0.003014,0.000000,True
88,0,0.245228,2.5235,396.275,0.000000,0.000000,0.000000,0.0000,0.221707,0.003063,0.003063,0.000000,True
89,0,0.247752,2.5458,392.804,0.000000,0.000000,0.000000,0.0000,0.221677,0.003131,0.003131,0.000000,True
90,0,0.250298,2.4926,401.188,0.000000,0.000000,0.000000,0.0000,0.221614,0.003203,0.003203,0.000000,True
